ChEBI_ID	Polymer_ID
CHEBI:133493	POLYMER:12823
CHEBI:133494	POLYMER:12824
CHEBI:133496	POLYMER:12825
CHEBI:133498	POLYMER:12826
CHEBI:17029	POLYMER:12827
CHEBI:133980	POLYMER:12940
CHEBI:134413	POLYMER:13088
CHEBI:134413	POLYMER:14300
CHEBI:136572	POLYMER:13258
CHEBI:134680	POLYMER:13114
CHEBI:134663	POLYMER:13113
CHEBI:136061	POLYMER:13138
CHEBI:136065	POLYMER:13139
CHEBI:136424	POLYMER:13190
CHEBI:136425	POLYMER:13191
CHEBI:136825	POLYMER:13355
CHEBI:136960	POLYMER:13431
CHEBI:27517	POLYMER:13458
CHEBI:137935	POLYMER:13676
CHEBI:137934	POLYMER:13675
CHEBI:138112	POLYMER:13849
CHEBI:138121	POLYMER:13850
CHEBI:138439	POLYMER:14055
CHEBI:138445	POLYMER:14061
CHEBI:138444	POLYMER:14060
CHEBI:138445	POLYMER:14301
CHEBI:139146	POLYMER:14257
CHEBI:139159	POLYMER:14274
CHEBI:139158	POLYMER:14276
CHEBI:139287	POLYMER:14318
CHEBI:139288	POLYMER:14319
CHEBI:139289	POLYMER:14320
CHEBI:53406	POLYMER:14414
CHEBI:53406	POLYMER:14554
CHEBI:139561	POLYMER:14396
CHEBI:139562	POLYMER:14397
CHEBI:140523	POLYMER:14734
CHEBI:8298	POLYMER:14519
CHEBI:8298	POLYMER:14520
CHEBI:8298	POLYMER:14521
CHEBI:8298	POLYMER:14522
CHEBI:140574	POLYMER:14606
CHEBI:140574	POLYMER:14607
CHEBI:140604	POLYMER:14621
CHEBI:141418	POLYMER:14818
CHEBI:142111	POLYMER:14969
CHEBI:142885	POLYMER:15259
CHEBI:143623	POLYMER:15675
CHEBI:143623	POLYMER:15519
CHEBI:59573	POLYMER:15895
CHEBI:27517	POLYMER:16082
CHEBI:140522	POLYMER:16094
CHEBI:142512	POLYMER:16922
CHEBI:142512	POLYMER:16923
CHEBI:166823	POLYMER:16941
CHEBI:43474	POLYMER:17344
CHEBI:61557	POLYMER:17342
CHEBI:173112	POLYMER:17339
